Worker;Subclass;Infraclass;Superorder;Order;Suborder;Superfamily;Family;ONG;Genus;ONS;Species;Name;Ecology;Section;Sample;Height;Lithology;StrSeq;StrSeq_sub;Age;Coll. No.;No. of rock sample;No. of specimen;BNM;LV;RV;Length;Height;L/H;Gsize;LN
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;5,9;7,9;0,75;6,83;1,92
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;6,9;9,2;0,75;7,97;2,08
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;5,8;7,7;0,75;6,68;1,90
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;4,3;5,7;0,75;4,95;1,60
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;3,4;4,5;0,76;3,91;1,36
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;6,3;8,3;0,76;7,23;1,98
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;6,3;8,3;0,76;7,23;1,98
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;5,4;7,1;0,76;6,19;1,82
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;8;10,5;0,76;9,17;2,22
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;6,1;8;0,76;6,99;1,94
