Worker;Subclass;Infraclass;Superorder;Order;Suborder;Superfamily;Family;ONG;Genus;ONS;Species;Name;Ecology;Section;Sample;Height;Lithology;StrSeq;StrSeq_sub;Age;Coll. No.;No. of rock sample;No. of specimen;BNM;LV;RV;Length;Height;L/H;Gsize;LN
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;jacobi;Unionites jacobi;facultatively mobile, infaunal suspension feeder ;Jmueia;JM188;31,75;Limestone;Lo5;Lo5_01;-252,337;;;JM188a.08.30;;;1;14,9;8,5;1,70;11,20;2,40
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;jacobi;Unionites jacobi;facultatively mobile, infaunal suspension feeder ;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 953;PR2.34;PR2.34.01;;;1;21,6;12,7;1,70;16,60;2,80
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;jacobi;Unionites jacobi;facultatively mobile, infaunal suspension feeder ;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 962;PR2.43;PR2.43.01a;;1;;21,6;12,7;1,70;16,60;2,80
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;jacobi;Unionites jacobi;facultatively mobile, infaunal suspension feeder ;Tramin;TR01;1,2;Dolomite;Lo5;Lo5_03;-252,337;;;TRBB.03.09;;;1;7,5;4,4;1,70;5,80;1,80
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;jacobi;Unionites jacobi;facultatively mobile, infaunal suspension feeder ;Tramin;TR01;1,2;Dolomite;Lo5;Lo5_03;-252,337;;;TRBB.03.46;;1;;11,9;7,1;1,70;9,20;2,20
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;jacobi;Unionites jacobi;facultatively mobile, infaunal suspension feeder ;Tramin;TR01;1,2;Dolomite;Lo5;Lo5_03;-252,337;;;TRBB.03.17;;;1;15,9;9,3;1,70;12,10;2,50
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;MYTILOIDA;;;MYTILIDAE;;Volsellina;;carinata;Volsellina carinata;stationary, epifaunal, suspension feeder ;Balest;BA014;1,1;Dolomite;Lo3;Lo3_01;-254;;;BA14.12.24;;;1;7,7;4,5;1,70;5,90;1,80
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;MYTILOIDA;;;MYTILIDAE;;Volsellina;;carinata;Volsellina carinata;stationary, epifaunal, suspension feeder ;Balest;BA599;129,1;Limestone;Lo5;Lo5_01;-252,337;;;BA599.02.13;;;1;11;6,7;1,70;8,60;2,10
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;MYTILOIDA;;;MYTILIDAE;;Volsellina;;carinata;Volsellina carinata;stationary, epifaunal, suspension feeder ;Culac;CUVGBB;NA;NA;Lo5;Lo5_02;-252,337;;CUGVBB.133;CUGVBB.133.02;;1;;5,7;3,4;1,70;4,40;1,50
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;MYTILOIDA;;;MYTILIDAE;;Volsellina;;carinata;Volsellina carinata;stationary, epifaunal, suspension feeder ;Culac;CUVGBB;NA;NA;Lo5;Lo5_02;-252,337;MLCS 1635;CUGVBB.45;CUGVBB.45;;;1;7,9;4,6;1,70;6,00;1,80
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;MYTILOIDA;;;MYTILIDAE;;Volsellina;;carinata;Volsellina carinata;stationary, epifaunal, suspension feeder ;Culac;CUVGBB;NA;NA;Lo5;Lo5_02;-252,337;MLCS 1625;CUGVBB.35;CUGVBB.35.01;;;1;8;4,6;1,70;6,10;1,80
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;MYTILOIDA;;;MYTILIDAE;;Volsellina;;carinata;Volsellina carinata;stationary, epifaunal, suspension feeder ;Culac;CUVGBB;NA;NA;Lo5;Lo5_02;-252,337;;;CUGVBB.105.02;;1;;9,7;5,7;1,70;7,40;2,00
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;MYTILOIDA;;;MYTILIDAE;;Volsellina;;carinata;Volsellina carinata;stationary, epifaunal, suspension feeder ;Culac;CUVGBB;NA;NA;Lo5;Lo5_02;-252,337;;;CUGVBB.118.02;;1;;12,6;7,5;1,70;9,70;2,30
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;MYTILOIDA;;;MYTILIDAE;;Volsellina;;carinata;Volsellina carinata;stationary, epifaunal, suspension feeder ;Jmueia;JM188;31,75;Limestone;Lo5;Lo5_01;-252,337;;;JM188a.01c.07;;;1;5,3;3,1;1,70;4,10;1,40
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;MYTILOIDA;;;MYTILIDAE;;Volsellina;;carinata;Volsellina carinata;stationary, epifaunal, suspension feeder ;Jmueia;JM188;31,75;Limestone;Lo5;Lo5_01;-252,337;;JM188a.08;JM188a.08.26;;;1;7,3;4,2;1,70;5,50;1,70
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;albertii;Bakevellia albertii;stationary, semi-infaunal suspension feeder ;Val Venegia;VV2;;;Ol2;;-249,75;31096;;;;;1;23,5;13;1,80;17,50;2,90
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;binneyi;Bakevellia binneyi;stationary, semi-infaunal suspension feeder ;Balest;Ff1;20;NA;Lo3;NA;-254;;;Ff1.12.02;;;1;5,9;3,3;1,80;4,40;1,50
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;binneyi;Bakevellia binneyi;stationary, semi-infaunal suspension feeder ;Balest;Ff1;20;NA;Lo3;NA;-254;MLCS1922;Ff1.26;Ff1.26.01;;1;;8,8;4,8;1,80;6,50;1,90
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;binneyi;Bakevellia binneyi;stationary, semi-infaunal suspension feeder ;Balest;Ff1;20;NA;Lo3;NA;-254;;;Ff1.33.02;;;1;12,5;6,9;1,80;9,30;2,20
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;binneyi;Bakevellia binneyi;stationary, semi-infaunal suspension feeder ;Balest;Ff1;20;NA;Lo3;NA;-254;MLCS1930;Ff1.34;Ff1.34.01;;1;;21,5;11,7;1,80;15,90;2,80
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;ceratophaga;Bakevellia ceratophaga;stationary, semi-infaunal suspension feeder ;Balest;BA461;110,7;Limestone;Lo4;Lo4_03;-253,174;;BA461.02;BA461.02.02;;;1;10,1;5,5;1,80;7,50;2,00
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;ceratophaga;Bakevellia ceratophaga;stationary, semi-infaunal suspension feeder ;Balest;BA461;110,7;Limestone;Lo4;Lo4_03;-253,174;;BA461.188;BA461.188.03;;1;;11,3;6,3;1,80;8,40;2,10
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;ceratophaga;Bakevellia ceratophaga;stationary, semi-infaunal suspension feeder ;Balest;BA461;110,7;Limestone;Lo4;Lo4_03;-253,174;MLCS 2111;BA461.229;BA461.229.01;;1;;12,9;7,1;1,80;9,50;2,30
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;ceratophaga;Bakevellia ceratophaga;stationary, semi-infaunal suspension feeder ;Balest;BA461;110,7;Limestone;Lo4;Lo4_03;-253,174;MLCS 2107;BA461.225;BA461.225.01;;1;;13,4;7,7;1,80;10,10;2,30
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;ceratophaga;Bakevellia ceratophaga;stationary, semi-infaunal suspension feeder ;Balest;BA461;110,7;Limestone;Lo4;Lo4_03;-253,174;MLCS 430;BA461.36;BA461.36.01;;1;;16,6;9,4;1,80;12,50;2,50
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;ceratophaga;Bakevellia ceratophaga;stationary, semi-infaunal suspension feeder ;Balest;BA463;111,1;Silty dolomite;Lo4;Lo4_03;-253,174;MLCS 537;BA463.42;BA463.42.01;;1;;17,9;9,7;1,80;13,20;2,60
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;ceratophaga;Bakevellia ceratophaga;stationary, semi-infaunal suspension feeder ;Jmueia;JM028;9,05;Limestone;Lo4;Lo4_03;-253,174;MLCS1986;JM28.13;JM28.13.01;;;1;19,5;10,6;1,80;14,40;2,70
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;ceratophaga;Bakevellia ceratophaga;stationary, semi-infaunal suspension feeder ;Jmueia;JM028;9,05;Limestone;Lo4;Lo4_03;-253,174;MLCS2022;JM28.49;JM28.49.01;;1;;19,5;10,6;1,80;14,40;2,70
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;ceratophaga;Bakevellia ceratophaga;stationary, semi-infaunal suspension feeder ;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;;PR61a.82b;PR61a.82b.01;;1;;14,6;8;1,80;10,80;2,40
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;ceratophaga;Bakevellia ceratophaga;stationary, semi-infaunal suspension feeder ;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1071;PR61a.40;PR61a.40.01;;;1;14,7;8;1,80;10,80;2,40
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;exporrecta;Bakevellia exporrecta;stationary, semi-infaunal suspension feeder ;Costabella;CB2;;;Ol1;;-250,9;CB2-BE-2;;;;1;;7,5;4,2;1,80;5,60;1,70
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;exporrecta;Bakevellia exporrecta;stationary, semi-infaunal suspension feeder ;Val Venegia;VV2;;;Ol2;;-249,75;VV2-BE-3;;;;;1;18,5;10,2;1,80;13,70;2,60
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;cf.;exporrecta;Bakevellia exporrecta;stationary, semi-infaunal suspension feeder ;Val Venegia;VV2;;;Ol2;;-249,75;VV2-BE-2;;;;1;;20,2;11,5;1,80;15,20;2,70
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;exporrecta;Bakevellia exporrecta;stationary, semi-infaunal suspension feeder ;Costabella;CB18;;;Ol3;;-248,05;CB18-BE-1;;;;1;;24;13,2;1,80;17,80;2,90
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;exporrecta;Bakevellia exporrecta;stationary, semi-infaunal suspension feeder ;Costabella;CB19;;;Ol3;;-248,05;CB19-BE-1;;;;1;;28;15,8;1,80;21,00;3,00
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Balest;BA014;1,1;Dolomite;Lo3;Lo3_01;-254;;;BA14.12.77;;;1;6,9;3,8;1,80;5,10;1,60
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Balest;BA014;1,1;Dolomite;Lo3;Lo3_01;-254;;;BA14.34.37;;1;;8,6;4,7;1,80;6,40;1,80
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Balest;BA014;1,1;Dolomite;Lo3;Lo3_01;-254;;;BA14.36.18;;1;;8,8;4,8;1,80;6,50;1,90
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Balest;BA014;1,1;Dolomite;Lo3;Lo3_01;-254;;BA14.26;BA14.26.2;;;1;9,6;5,5;1,80;7,30;2,00
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Balest;BA014;1,1;Dolomite;Lo3;Lo3_01;-254;;BA14.8;BA14.8.3;;;1;14,9;8,3;1,80;11,10;2,40
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 991;PR2.73;PR2.73.01;;1;;8,8;5;1,80;6,70;1,90
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;;;PR2.36.02a;;;1;9,3;5,1;1,80;6,90;1,90
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 1004;PR2.86;PR2.86.01;;1;;12,7;7,2;1,80;9,60;2,30
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;;;PR2.40.04;;;1;16,1;8,8;1,80;11,90;2,50
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;;Neoschizodus;;laevigatus;Neoschizodus laevigatus;;Balest;BA.MMb.105;38;;In1;;-251,771;9;15;;;1;;7,5;4,2;1,80;5,60;1,70
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;;Neoschizodus;;laevigatus;Neoschizodus laevigatus;;L'Om picol;LOP1;;;In2;;-251,39;LOP2-NL-1;;;;1;;7,5;4,2;1,80;5,60;1,70
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;;Neoschizodus;;laevigatus;Neoschizodus laevigatus;;L'Om picol;LOP4;;;Ol1;;-250,9;LOP4-NL-1;;;;1;;10,2;5,8;1,80;7,70;2,00
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;MYTILOIDA;;;MYTILIDAE;;Promytilus;;merlai;Promytilus merlai;stationary, semi-infaunal suspension feeder ;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1945;PR61a.293;PR61a.293.01;;;1;27,9;15,2;1,80;20,60;3,00
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;MYTILOIDA;;;MYTILIDAE;;Promytilus;;merlai;Promytilus merlai;stationary, semi-infaunal suspension feeder ;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1032;PR61a.01;PR61a.01.01;;;1;41,3;23;1,80;30,80;3,40
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PTERIOIDA;PTERIINA;PTERIOIDEA;PTERIIDAE;;Pteria;cf.;ussurica;Pteria ussurica;;Balest;BA.MMb.105;38;;In1;;-251,771;1;33;;;1;;7,7;4,3;1,80;5,80;1,70
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PTERIOIDA;PTERIINA;PTERIOIDEA;PTERIIDAE;;Pteria;cf.;ussurica;Pteria ussurica;;Balest;BA.MMb.105;38;;In1;;-251,771;9;76;;;1;;9,5;5,2;1,80;7,00;1,90
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PTERIOIDA;PTERIINA;PTERIOIDEA;PTERIIDAE;;Pteria;cf.;ussurica;Pteria ussurica;;Balest;BA.MMb.105;38;;In1;;-251,771;6;10;;;1;;13,6;7,4;1,80;10,00;2,30
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;MODIOMORPHIDA;;KALENTEROIDEA;KALENTERIDAE;;Stutchburia;cf.;sp.;Stutchburia sp. B;;Rosengarten;RG25;;;In2;;-251,39;31123;;;;1;;16,7;9,1;1,80;12,30;2,50
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;MODIOMORPHIDA;;KALENTEROIDEA;KALENTERIDAE;;Stutchburia;;sp.;Stutchburia sp.;facultatively mobile, infaunal suspension feeder ;Balest;BA461;110,7;Limestone;Lo4;Lo4_03;-253,174;MLCS1835;BA461.158;BA461.158.01;;;1;12,4;6,8;1,80;9,20;2,20
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;MODIOMORPHIDA;;KALENTEROIDEA;KALENTERIDAE;;Stutchburia;;sp.;Stutchburia sp.;facultatively mobile, infaunal suspension feeder ;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1118;PR61a.88;PR61a.88.01;;1;;15;8,5;1,80;11,30;2,40
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Tambanella;;stetteneckensis;Tambanella stetteneckensis;stationary, epifaunal suspension feeder ;Balest;BA231;65,9;Dolomite;Lo4;Lo4_01;-253,174;MLCS 1866;BA231.177;BA231.177.01;;1;;9,3;5,3;1,80;7,00;1,90
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Tambanella;;stetteneckensis;Tambanella stetteneckensis;stationary, epifaunal suspension feeder ;Balest;BA231;65,9;Dolomite;Lo4;Lo4_01;-253,174;MLCS 1868;BA231.179;BA231.179.01;;;1;18,9;10,3;1,80;13,90;2,60
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Tambanella;;stetteneckensis;Tambanella stetteneckensis;stationary, epifaunal suspension feeder ;Balest;BA231;65,9;Dolomite;Lo4;Lo4_01;-253,174;MLCS 2346;BA231.271;BA231.271.01;;;1;21,5;12,1;1,80;16,10;2,80
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Tambanella;;stetteneckensis;Tambanella stetteneckensis;stationary, epifaunal suspension feeder ;Balest;BA231;65,9;Dolomite;Lo4;Lo4_01;-253,174;MLCS 2353;BA231.278;BA231.278.01;;1;;26,1;14,2;1,80;19,30;3,00
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Tambanella;;stetteneckensis;Tambanella stetteneckensis;stationary, epifaunal suspension feeder ;Balest;BA231;65,9;Dolomite;Lo4;Lo4_01;-253,174;MLCS 190;BA231.18;BA231.18.01;;1;;26,4;14,9;1,80;19,80;3,00
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Towapteria;;peracuta;Towapteria peracuta;stationary, epifaunal suspension feeder;Balest;BA014;1,1;Dolomite;Lo3;Lo3_01;-254;;;BA14.4.5;;;1;2,4;1,3;1,80;1,80;0,60
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Towapteria;;peracuta;Towapteria peracuta;stationary, epifaunal suspension feeder;Balest;BA014;1,1;Dolomite;Lo3;Lo3_01;-254;;;BA14.40.7;;1;;5,8;3,2;1,80;4,30;1,50
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Towapteria;;peracuta;Towapteria peracuta;stationary, epifaunal suspension feeder;Balest;BA014;1,1;Dolomite;Lo3;Lo3_01;-254;;BA14.4;BA14.4.4;;;1;6,3;3,5;1,80;4,70;1,50
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Towapteria;;peracuta;Towapteria peracuta;stationary, epifaunal suspension feeder;Balest;BA014;1,1;Dolomite;Lo3;Lo3_01;-254;;;BA14.1.12;;;1;7,8;4,5;1,80;5,90;1,80
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Towapteria;;peracuta;Towapteria peracuta;stationary, epifaunal suspension feeder;Balest;BA014;1,1;Dolomite;Lo3;Lo3_01;-254;;;BA14.61.66;;1;;8,7;4,8;1,80;6,50;1,90
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Towapteria;;peracuta;Towapteria peracuta;stationary, epifaunal suspension feeder;Balest;BA150;24,15;Dolomite;Lo3;Lo3_02;-254;MLCS 111;BA150.14 a;BA150.14 a.01;;1;;9,1;5,1;1,80;6,80;1,90
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Towapteria;;peracuta;Towapteria peracuta;stationary, epifaunal suspension feeder;Balest;BA150;24,15;Dolomite;Lo3;Lo3_02;-254;MLCS 98;BA150.01;BA150.01.01;;;1;9,4;5,2;1,80;7,00;1,90
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Towapteria;;peracuta;Towapteria peracuta;stationary, epifaunal suspension feeder;Balest;BA014;1,1;Dolomite;Lo3;Lo3_01;-254;;;BA14.12.50;;;1;11,2;6,2;1,80;8,30;2,10
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Towapteria;;peracuta;Towapteria peracuta;stationary, epifaunal suspension feeder;Balest;BA150;24,15;Dolomite;Lo3;Lo3_02;-254;;;BA150.18.02;;1;;11,4;6,5;1,80;8,60;2,20
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Towapteria;;peracuta;Towapteria peracuta;stationary, epifaunal suspension feeder;Balest;BA150;24,15;Dolomite;Lo3;Lo3_02;-254;;BA150.14 b;BA150.14 b.01;;1;;12,9;7,2;1,80;9,70;2,30
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Towapteria;;peracuta;Towapteria peracuta;stationary, epifaunal suspension feeder;Balest;BA150;24,15;Dolomite;Lo3;Lo3_02;-254;;BA150.23;BA150.23 a.05;;1;;15,8;8,8;1,80;11,80;2,50
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Towapteria;;peracuta;Towapteria peracuta;stationary, epifaunal suspension feeder;Balest;BA461;110,7;Limestone;Lo4;Lo4_03;-253,174;;BA461.178;BA461.178.02;;1;;7,1;3,9;1,80;5,30;1,70
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Towapteria;;peracuta;Towapteria peracuta;stationary, epifaunal suspension feeder;Balest;BA463;111,1;Silty dolomite;Lo4;Lo4_03;-253,174;MLCS 758;BA463b.05;BA463b.05.01;;1;;8,9;5,1;1,80;6,70;1,90
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Towapteria;;peracuta;Towapteria peracuta;stationary, epifaunal suspension feeder;Balest;BA461;110,7;Limestone;Lo4;Lo4_03;-253,174;MLCS 2070;BA461.188;BA461.188.01;;1;;9,8;5,5;1,80;7,30;2,00
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Towapteria;;peracuta;Towapteria peracuta;stationary, epifaunal suspension feeder;Jmueia;JM028;9,05;Limestone;Lo4;Lo4_03;-253,174;MLCS2002;JM28.29;JM28.29.01a;;1;;7,5;4,1;1,80;5,50;1,70
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Towapteria;;peracuta;Towapteria peracuta;stationary, epifaunal suspension feeder;Balest;BA713;145,4;Marl;Lo5;Lo5_03;-252,337;;;BA713.02.07;;1;;7,9;4,5;1,80;6,00;1,80
